"","Admission Date","Company Name","ICB Industry","ICB Super-Sector","Country of Incorporation","World Region","Market","International Issuer","Company Market Cap (£m)"
"","02/08/2006","1PM PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","25.14"
"","02/02/2009","1SPATIAL PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","29.83"
"","18/07/1994","3I GROUP PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","10,747.35"
"","13/03/2007","3I INFRASTRUCTURE PLC","Financials","Financial Services ","Jersey","Europe","MAIN MARKET ","No","2,767.90"
"","18/02/2014","4D PHARMA PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","65.49"
"","13/03/1953","4IMPRINT GROUP PLC","Consumer Discretionary","Media","United Kingdom","Europe","MAIN MARKET ","No","929.63"
"","14/07/2011","600 GROUP PLC","Basic Materials","Basic Resources","United Kingdom","Europe","AIM ","No","16.74"
"","10/06/2014","7DIGITAL GROUP PLC","Consumer Discretionary","Retail ","United Kingdom","Europe","AIM ","No","8.59"
"","04/10/2005","888 HOLDINGS PLC","Consumer Discretionary","Travel and Leisure","Gibraltar","Europe","MAIN MARKET ","Yes","495.8"
"","03/02/2012","88 ENERGY LIMITED","Energy","Energy","Australia","Pacific","AIM ","Yes","75.98"
"","26/06/2014","AA PLC","Consumer Discretionary","Automobiles and Parts","United Kingdom","Europe","MAIN MARKET ","No","294.68"
"","15/12/2006","ABAL GROUP PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","0.86"
"","16/11/2004","ABBEY PLC","Consumer Discretionary","Consumer Products and Services","Ireland","Europe","AIM ","Yes","283.61"
"","03/11/2005","ABCAM PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","2,872.33"
"","22/05/2013","AB DYNAMICS PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","493.93"
"","20/12/2005","ABERDEEN ASIAN INCOME FUND LTD","Financials","Financial Services ","Jersey","Europe","MAIN MARKET ","No","356.37"
"","24/03/1952","ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","354.22"
"","10/11/2009","ABERDEEN EMERGING MARKETS INVESTMENT COMPANY LIMITED","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","268.9"
"","15/06/2007","ABERDEEN FRONTIER MARKETS INVESTMENT COMPANY LIMITED","Financials","Financial Services ","Guernsey","Europe","AIM ","No","32.22"
"","01/10/1998","ABERDEEN JAPAN INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","86.29"
"","16/08/2010","ABERDEEN LATIN AMERICAN INCOME FUND LIMITED","Financials","Financial Services ","Jersey","Europe","MAIN MARKET ","No","39.48"
"","03/09/2013","ABERDEEN NEW DAWN INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","270.39"
"","31/03/1994","ABERDEEN NEW INDIA INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","272.36"
"","22/12/1989","ABERDEEN NEW THAI INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","82.95"
"","28/08/1992","ABERDEEN SMALLER COMPANIES INCOME TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","77.05"
"","19/10/1995","ABERDEEN STANDARD ASIA FOCUS PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","349.88"
"","14/11/1991","ABERDEEN STANDARD EQUITY INCOME TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","194.71"
"","15/12/2017","ABERDEEN STANDARD EUROPEAN LOGISTICS INCOME PLC","Real Estate","Real Estate ","United Kingdom","Europe","MAIN MARKET ","No","215.74"
"","10/12/1990","ABERFORTH SMALLER COMPANIES TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","1,287.49"
"","03/07/2017","ABERFORTH SPLIT LEVEL INCOME TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","221.4"
"","28/06/2005","ACCESS INTELLIGENCE PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","38.51"
"","24/04/2002","ACCESSO TECHNOLOGY GROUP PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","100.9"
"","10/06/2016","ACCROL GROUP HOLDINGS PLC","Consumer Staples ","Personal Care, Drug and Grocery Stores ","United Kingdom","Europe","AIM ","No","76.15"
"","26/10/2005","ACCSYS TECHNOLOGIES PLC","Industrials","Construction and Materials","United Kingdom","Europe","AIM ","No","167.76"
"","02/11/1995","ACER INCORPORATED","Technology","Technology","Taiwan","Asia","PROFESSIONAL SECURITIES MARKET ","Yes","-"
"","11/02/1999","ACORN INCOME FUND LD","Financials","Financial Services ","Guernsey","Europe","MAIN MARKET ","No","98.1"
"","06/10/1997","ACTIVE ENERGY GROUP PLC","Energy","Energy","United Kingdom","Europe","AIM ","No","6.19"
"","13/02/2014","ACTUAL EXPERIENCE PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","24.87"
"","19/02/2014","ADAMAS FINANCE ASIA LIMITED","Financials","Financial Services ","British Virgin Islands","North America","AIM ","Yes","30.99"
"","26/07/2005","ADAMS PLC","Real Estate","Real Estate ","Isle of Man","Europe","AIM ","No","6.4"
"","15/02/2006","ADEPT TECHNOLOGY GROUP PLC","Telecommunications","Telecommunications","United Kingdom","Europe","AIM ","No","78.22"
"","09/05/2017","ADES INTERNATIONAL HOLDING PLC","Energy","Energy","United Arab Emirates","Middle East","MAIN MARKET ","Yes","378.83"
